"file" "checksum" "built" "date"
"ATTRIBUTION.md" "04910ce94e8b506d00af2e90b74ad4af" "site/built/ATTRIBUTION.md" "2026-04-21"
"CODE_OF_CONDUCT.md" "902ffb25d75c81ee3b2a5dee3301fa02" "site/built/CODE_OF_CONDUCT.md" "2025-05-15"
"LICENSE.md" "16e8eaad880865bc4a41811b3e8fa945" "site/built/LICENSE.md" "2025-02-03"
"config.yaml" "792575f93e7e2240e6a42c973745e929" "site/built/config.yaml" "2026-04-21"
"index.md" "8741f1ce8ab54fd6bcd012226738448d" "site/built/index.md" "2026-04-21"
"links.md" "8184cf4149eafbf03ce8da8ff0778c14" "site/built/links.md" "2022-04-22"
"episodes/1-ai-landscape.md" "fa8a486202fe6555622cb15aad392339" "site/built/1-ai-landscape.md" "2026-04-21"
"episodes/2-ai-assisted-coding.md" "db91601be038414165af8b790123653a" "site/built/2-ai-assisted-coding.md" "2026-04-21"
"episodes/3-ethics-reliability-and-security.md" "ce5bd77a38f30710cd1dcdb8a2c04952" "site/built/3-ethics-reliability-and-security.md" "2026-02-06"
"instructors/instructor-notes.md" "cae72b6712578d74a49fea7513099f8c" "site/built/instructor-notes.md" "2023-03-16"
"learners/reference.md" "1c7cc4e229304d9806a13f69ca1b8ba4" "site/built/reference.md" "2023-03-16"
"learners/setup.md" "31e334f1db29a5c29fda5e77583eb27f" "site/built/setup.md" "2026-04-21"
"profiles/learner-profiles.md" "60b93493cf1da06dfd63255d73854461" "site/built/learner-profiles.md" "2022-04-22"
